ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
262,خشف,خَشِفَ,خشف,1,خَشِفَ,يَخْشِفُ,اِخْشِفْ
263,خشم,خَشَمَ,خشم,1,خَشَمَ,يَخْشِمُ,اِخْشِمْ
264,هدر,هَدَرَ,هدر,1,هَدَرَ,يَهْدِرُ,اِهْدِرْ
265,نعر,نَعِرَ,نعر,1,نَعِرَ,يَنْعِرُ,اِنْعِرْ
266,سحب,سَحَبَ,سحب,1,سَحَبَ,يَسْحِبُ,اِسْحِبْ
267,خرش,خَرَشَ,خرش,1,خَرَشَ,يَخْرِشُ,اِخْرِشْ
268,خرس,خَرِسَ,خرس,1,خَرِسَ,يَخْرِسُ,اِخْرِسْ
269,خرق,خَرَقَ,خرق,1,خَرَقَ,يَخْرِقُ,اِخْرِقْ
270,رجح,رَجَحَ,رجح,1,رَجَحَ,يَرْجِحُ,اِرْجِحْ
271,خرع,خَرِعَ,خرع,1,خَرِعَ,يَخْرِعُ,اِخْرِعْ
272,خرف,خَرِفَ,خرف,1,خَرِفَ,يَخْرِفُ,اِخْرِفْ
273,خرز,خَرِزَ,خرز,1,خَرِزَ,يَخْرِزُ,اِخْرِزْ
274,رصع,رَصِعَ,رصع,1,رَصِعَ,يَرْصِعُ,اِرْصِعْ
275,رضخ,رَضَخَ,رضخ,1,رَضَخَ,يَرْضِخُ,اِرْضِخْ
276,نعق,نَعَقَ,نعق,1,نَعَقَ,يَنْعِقُ,اِنْعِقْ
277,رضع,رَضَعَ,رضع,1,رَضَعَ,يَرْضِعُ,اِرْضِعْ
278,رضع,رَضَعَ,رضع,1,رَضَعَ,يَرْضِعُ,اِرْضِعْ
279,رصع,رَصَعَ,رصع,1,رَصَعَ,يَرْصِعُ,اِرْصِعْ
280,خطب,خَطِبَ,خطب,1,خَطِبَ,يَخْطِبُ,اِخْطِبْ
281,رعب,رَعَبَ,رعب,1,رَعَبَ,يَرْعِبُ,اِرْعِبْ
282,نفس,نَفِسَ,نفس,1,نَفِسَ,يَنْفِسُ,اِنْفِسْ
283,ذلف,ذَلِفَ,ذلف,1,ذَلِفَ,يَذْلِفُ,اِذْلِفْ
284,رعف,رَعِفَ,رعف,1,رَعِفَ,يَرْعِفُ,اِرْعِفْ
285,رقب,رَقِبَ,رقب,1,رَقِبَ,يَرْقِبُ,اِرْقِبْ
